Afghanistan
Ägypten
Albanien
Algerien
Andorra
Angola
Antigua und Barbuda
Äquatorialguinea
Argentinien
Armenien
Aserbaidschan
Äthiopien
Australien
Bahamas
Bahrain
Bangladesch
Barbados
Belarus
Belgien
Belize
Benin
Bhutan
Plurinationaler Staaten Bolivien
Bosnien und Herzegowina
Botsuana
Brasilien
Brunei Darussalam
Bulgarien
Burkina Faso
Burundi
Cabo Verde
Chile
China
Cookinseln
Costa Rica
Cote d'Ivoire
Dänemark
Deutschland
Dominica
Dominikanische Republik
Dschibuti
Ecuador
El Salvador
Eritrea
Estland
Eswatini
Fidschi
Finnland
Frankreich
Gabun
Gambia
Georgien
Ghana
Grenada
Griechenland
Guatemala
Guinea
Guinea-Bissau
Guyana
Haiti
Heiliger Stuhl
Honduras
Indien
Indonesien
Irak
Islamische Republik Iran
Irland
Island
Israel
Italien
Jamaika
Japan
Jemen
Jordanien
Kambodscha
Kamerun
Kanada
Kasachstan
Katar
Kenia
Kirgisistan
Kiribati
Kolumbien
Komoren
Kongo
Demokratische Republik Kongo
Demokratische Volksrepublik Korea
Republik Korea
Kosovo
Kroatien
Kuba
Kuwait
Demokratische Volksrepublik Laos
Lesotho
Lettland
Libanon
Liberia
Libyen
Liechtenstein
Litauen
Luxemburg
Madagaskar
Malawi
Malaysia
Malediven
Mali
Malta
Marokko
Marshallinseln
Mauretanien
Mauritius
Mexiko
Föderierte Staaten von Mikronesien
Republik Moldau
Monaco
Mongolei
Montenegro
Mosambik
Myanmar
Namibia
Nauru
Nepal
Neuseeland
Nicaragua
Niederlande
Niger
Nigeria
Niue
Nordmazedonien
Norwegen
Oman
Österreich
Pakistan
Palau
Panama
Papua-Neuguinea
Paraguay
Peru
Philippinen
Polen
Portugal
Ruanda
Rumänien
Russische Föderation
Salomonen
Sambia
Samoa
San Marino
Saudi-Arabien
Schweden
Schweiz
Senegal
Serbien 
Seychellen
Sierra Leone
Simbabwe
Singapur
Slowakei
Slowenien
Somalia
Spanien
Sri Lanka
St. Kitts und Nevis
St. Lucia
St. Vincent und die Grenadinen
Südafrika
Sudan
Südsudan
Suriname
Arabische Republik Syrien
Tadschikistan
Vereinigte Republik Tansania
Thailand
Timor-Leste
Togo
Tonga
Trinidad und Tobago
Tschad
Tschechien
Tunesien
Türkei
Turkmenistan
Tuvalu
Uganda
Ukraine
Ungarn
Uruguay
Usbekistan
Vanuatu
Vatikanstadt
Bolivarische Republik Venezuela
Vereinigte Arabische Emirate
Vereinigte Staaten
Vereinigtes Königreich
Vietnam
Zentralafrikanische Republik
Zypern
